日期,翡翠水庫日平均水位/公尺,水庫有效蓄水量/百萬立方公尺,集水區平均雨量/毫米,水庫進流量/立方公尺,水庫放流量/立方公尺,進流量減放流量/立方公尺,南勢溪流量/立方公尺,南北勢溪合計原水量/立方公尺
5月16日,159.45,243.923,55.3,"3,058,212","1,849,212","1,209,000","3,594,600","5,443,812"
5月17日,159.67,245.618,0.5,"2,492,916","1,847,916","645,000","4,024,440","5,872,356"
5月18日,159.66,245.574,4.9,"1,443,620","1,846,620","-403,000","2,701,800","4,548,420"
5月19日,159.6,245.106,3.7,"1,440,712","1,844,712","-404,000","2,098,800","3,943,512"
5月20日,159.55,244.639,7.7,"1,284,780","1,848,780","-564,000","1,910,880","3,759,660"
5月21日,159.5,244.384,56.6,"4,288,024","1,866,024","2,422,000","2,388,600","4,254,624"
5月22日,160.13,249.562,59.1,"11,688,712","5,183,712","6,505,000","5,237,640","10,421,352"
5月23日,160.93,256.021,17.7,"11,706,108","6,615,108","5,091,000","7,538,400","14,153,508"
5月24日,161.15,257.693,0.9,"5,781,640","6,605,640","-824,000","5,263,200","11,868,840"
5月25日,160.95,256.122,28.7,"4,179,392","5,413,392","-1,234,000","4,104,000","9,517,392"
5月26日,160.83,255.132,3.6,"3,442,116","4,591,116","-1,149,000","3,578,400","8,169,516"
5月27日,160.68,253.831,6.4,"2,573,056","4,048,056","-1,475,000","3,074,400","7,122,456"
5月28日,161.07,257.366,101.5,"14,510,904","4,028,904","10,482,000","7,394,400","11,423,304"
5月29日,162.14,266.056,31.4,"11,223,276","6,546,276","4,677,000","13,946,400","20,492,676"
5月30日,162.48,268.838,6.9,"6,870,692","6,535,692","335,000","10,116,000","16,651,692"
5月31日,162.41,268.371,75.1,"9,804,900","6,525,900","3,279,000","6,346,800","12,872,700"
6月1日,163.13,274.336,14.6,"9,950,652","6,908,652","3,042,000","5,335,200","12,243,852"
6月2日,163.14,274.321,9.8,"5,654,628","6,923,628","-1,269,000","3,931,200","10,854,828"
6月3日,162.9,272.277,0.1,"3,898,428","6,934,428","-3,036,000","3,492,000","10,426,428"
6月4日,162.47,268.622,0.1,"2,883,856","6,992,856","-4,109,000","2,925,000","9,917,856"
6月5日,161.94,264.218,5.4,"2,449,516","6,864,516","-4,415,000","2,618,640","9,483,156"
6月6日,161.4,259.763,7.2,"2,116,120","6,585,120","-4,469,000","2,375,280","8,960,400"
6月7日,160.88,255.476,9.4,"2,070,932","6,178,932","-4,108,000","2,232,720","8,411,652"
